Date,First,Second,Third,Fourth,Fifth,Sixth,Bonus,Winning prize
"27 December, 2018",9,19,20,30,35,46,23,"$2,588,180"
"24 December, 2018",3,5,12,17,29,39,31,"$1,149,924"
"20 December, 2018",7,12,15,30,33,39,48,"$4,604,567"
"17 December, 2018",15,16,30,32,44,48,46,"$2,504,990"
"13 December, 2018",3,11,18,23,38,47,7,"$1,061,845"
"10 December, 2018",4,10,14,26,39,44,48,"$2,520,863"
"06 December, 2018",5,9,16,18,23,47,19,"$1,063,888"
"03 December, 2018",5,6,7,29,37,38,23,"$1,085,425"
"29 November, 2018",4,11,19,25,40,44,1,"$2,469,422"
"26 November, 2018",16,22,28,31,38,46,33,"$1,085,714"
"22 November, 2018",11,17,20,21,27,30,33,"$2,443,241"
"19 November, 2018",2,9,14,36,46,48,5,"$1,084,569"
"15 November, 2018",21,25,27,36,39,44,18,"$1,065,842"
"12 November, 2018",4,12,21,34,41,47,33,"$1,114,830"
"08 November, 2018",8,13,16,26,28,38,46,"$4,823,063"
"05 November, 2018",3,8,14,28,43,49,26,"$2,664,647"
"01 November, 2018",6,27,28,41,44,48,15,"$1,098,988"
"29 October, 2018",2,6,10,20,28,31,30,"$1,086,038"
"25 October, 2018",7,8,13,15,35,48,30,"$8,988,542"
"22 October, 2018",5,22,24,40,43,48,2,"$4,714,584"
"18 October, 2018",5,14,17,31,46,48,47,"$2,492,614"
"15 October, 2018",1,4,24,32,35,48,20,"$1,111,071"
"11 October, 2018",1,16,18,24,29,46,35,"$2,526,098"
"08 October, 2018",17,18,23,39,43,49,2,"$1,143,761"
"04 October, 2018",5,12,23,32,37,42,43,"$1,098,696"
"01 October, 2018",11,15,23,24,32,40,43,"$2,627,854"
"27 September, 2018",2,25,29,33,42,45,20,"$1,076,778"
"24 September, 2018",6,8,17,24,29,47,34,"$8,831,101"
"20 September, 2018",5,12,18,30,32,38,22,"$4,515,615"
"17 September, 2018",16,21,22,24,25,27,1,"$2,489,954"
"13 September, 2018",6,16,17,40,44,48,34,"$1,070,420"
"10 September, 2018",2,6,9,15,40,43,18,"$1,105,314"
"06 September, 2018",2,15,17,20,23,30,45,"$2,492,871"
"03 September, 2018",4,5,13,18,39,40,3,"$1,119,330"
"30 August, 2018",3,9,27,29,31,40,46,"$2,575,482"
"27 August, 2018",5,6,16,24,26,29,38,"$1,124,642"
"23 August, 2018",2,3,23,30,39,41,19,"$2,499,788"
"20 August, 2018",9,10,25,38,40,42,2,"$1,117,105"
"16 August, 2018",22,23,25,32,33,36,20,"$1,109,639"
"13 August, 2018",1,3,6,16,22,36,17,"$2,713,864"
"09 August, 2018",13,16,20,23,39,42,28,"$1,147,348"
"06 August, 2018",7,18,20,27,36,40,15,"$1,172,948"
"02 August, 2018",1,10,15,27,41,46,35,"$9,186,470"
"30 July, 2018",8,10,19,20,41,43,7,"$4,704,775"
"26 July, 2018",1,9,13,17,28,40,37,"$2,506,353"
"23 July, 2018",2,23,26,28,39,40,12,"$1,107,500"
"19 July, 2018",13,14,23,35,37,46,45,"$4,675,438"
"16 July, 2018",4,8,19,24,32,47,22,"$2,612,065"
"12 July, 2018",4,15,25,32,40,41,10,"$1,095,128"
"09 July, 2018",6,23,31,38,39,43,33,"$4,817,647"
"05 July, 2018",8,11,28,30,32,34,39,"$2,591,425"
"02 July, 2018",12,13,26,33,35,38,23,"$1,143,695"
"28 June, 2018",2,7,22,27,40,47,48,"$2,586,729"
"25 June, 2018",2,5,25,38,44,48,9,"$1,134,430"
"21 June, 2018",4,6,15,24,30,35,46,"$4,757,612"
"18 June, 2018",11,15,22,23,26,43,25,"$2,594,724"
"14 June, 2018",4,29,31,35,42,48,1,"$1,096,453"
"11 June, 2018",16,25,30,37,44,49,34,"$9,359,532"
"07 June, 2018",12,20,29,31,37,39,42,"$4,902,583"
"04 June, 2018",20,22,31,37,43,45,27,"$2,685,672"
"31 May, 2018",11,13,24,26,47,49,33,"$1,122,868"
"28 May, 2018",5,9,27,28,30,44,2,"$4,878,135"
"24 May, 2018",11,25,26,34,36,42,16,"$2,539,506"
"21 May, 2018",8,10,16,30,37,44,17,"$1,094,555"
"17 May, 2018",7,21,25,29,35,37,13,"$9,218,952"
"14 May, 2018",17,24,29,45,46,49,5,"$4,824,232"
"10 May, 2018",4,14,35,38,45,47,13,"$2,583,822"
"07 May, 2018",2,7,12,15,23,44,34,"$1,160,399"
"03 May, 2018",14,23,28,30,32,48,8,"$2,610,448"
"30 April, 2018",7,13,18,21,32,35,14,"$1,158,355"
"26 April, 2018",5,14,17,25,28,46,39,"$2,626,004"
"23 April, 2018",1,30,32,36,37,41,16,"$1,150,674"
"19 April, 2018",18,22,32,35,36,44,38,"$1,113,634"
"16 April, 2018",14,22,25,27,28,29,1,"$1,131,733"
"12 April, 2018",1,7,15,27,32,38,45,"$9,498,045"
"09 April, 2018",18,36,40,41,43,49,28,"$4,868,687"
"05 April, 2018",3,5,21,30,32,40,34,"$2,599,122"
"02 April, 2018",3,12,30,39,43,48,20,"$1,156,003"
"29 March, 2018",11,15,17,21,27,33,10,"$2,565,108"
"26 March, 2018",6,13,14,27,32,36,29,"$1,153,150"
"22 March, 2018",5,6,13,21,27,47,42,"$1,116,951"
"19 March, 2018",3,18,31,39,43,46,29,"$2,826,396"
"15 March, 2018",9,16,23,25,34,40,47,"$1,183,754"
"12 March, 2018",9,12,15,16,29,44,2,"$5,055,761"
"08 March, 2018",2,10,14,24,28,40,21,"$2,643,149"
"05 March, 2018",6,15,16,30,32,39,19,"$1,165,199"
"02 March, 2018",24,28,31,37,40,49,29,"$12,027,219"
"26 February, 2018",4,9,13,15,40,44,48,"$1,638,180"
"22 February, 2018",4,12,13,15,35,46,21,"$1,428,828"
"19 February, 2018",10,21,29,34,37,43,28,"$5,460,952"
"15 February, 2018",16,18,30,31,36,41,1,"$2,936,330"
"12 February, 2018",12,14,19,23,37,41,3,"$1,192,242"
"09 February, 2018",8,15,16,23,40,49,18,"$6,362,214"
"05 February, 2018",25,33,38,40,42,48,27,"$1,337,838"
"01 February, 2018",4,15,20,22,29,32,8,"$1,176,410"
"29 January, 2018",7,14,25,32,44,48,19,"$1,226,274"
